,Unnamed: 0,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
0,0,1031881038144917505,1018203082277212165,FedExInBikeLane,RT @BrandonWC: @FedExHelp @FedExInBikeLane @NYPD7Pct @NYCMayor When someone is inevitably injured or killed because of this @FedEx driver b…,Tue Aug 21 12:29:45 +0000 2018,8,0,,
0,0,1043449240427655168,3297226109,RobinStroup,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 10:37:39 +0000 2018,7,0,,
0,0,1043448972847853568,772927160990433280,BearmanShannon,.@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 10:36:36 +0000 2018,7,5,,
0,0,1043457689647542272,2497165970,farkleanni,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 11:11:14 +0000 2018,7,0,,
0,0,1044384343001616384,781753963,KevinRu58651089,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Tue Sep 25 00:33:25 +0000 2018,7,0,,
0,0,1044484351478689792,4102048647,moneymasternow1,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Tue Sep 25 07:10:49 +0000 2018,7,0,,
0,0,1044570225373515776,6529952,ucfgeek,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Tue Sep 25 12:52:03 +0000 2018,7,0,,
12,12,1044336711298355200,39789111,natehyde,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Mon Sep 24 21:24:09 +0000 2018,7,0,,
0,0,1043449627029200896,1284661002,PelDrell,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 10:39:12 +0000 2018,7,0,,
0,0,1043451096369389568,917402348540002305,AngRod78,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 10:45:02 +0000 2018,7,0,,
0,0,1043466109100417024,378650353,2018questionall,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 11:44:41 +0000 2018,7,0,,
1,1,1044294658732417024,704698783678922752,farmer_kaleigh,A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to contact me but today a beautiful registry gift arrived from the @fedex social media team! This has certainly proved their customer service goes above &amp; beyond!TY https://t.co/TsNQ8Bx7C9,Mon Sep 24 18:37:03 +0000 2018,7,52,,
0,0,1044295603759378432,44479749,sdavis510,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Mon Sep 24 18:40:48 +0000 2018,7,0,,
1,1,1044414568611688449,20063967,CP_Murphy,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Tue Sep 25 02:33:32 +0000 2018,7,0,,
0,0,1044560937993326592,279203282,Papafarms,RT @farmer_kaleigh: A while back I tweeted @FedEx @FedExHelp when my wedding dress box arrived damaged (dress is okay) They were prompt to…,Tue Sep 25 12:15:09 +0000 2018,7,0,,
0,0,1043455688800911360,797547199928422401,InSpiteOfTrump,RT @BearmanShannon: .@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/Af5ZjUeTJZ,Sat Sep 22 11:03:17 +0000 2018,7,0,,
9,9,1042082146456887297,39789111,natehyde,RT @FedEx: We’re big fans of the talent in our commercials too. A little 🐦 told us you might be familiar with her work @mgyllenhaal. https:…,Tue Sep 18 16:05:19 +0000 2018,6,0,,
27,27,1034974430118723584,1018203082277212165,FedExInBikeLane,RT @bikelaneuprise: Stumbled on this not so fun fact: @FedEx vehicles (those using DOT#86876) have been involved in crashes resulting in 11…,Thu Aug 30 01:21:47 +0000 2018,6,0,,
50,50,1040246722293841920,1018203082277212165,FedExInBikeLane,"RT @melissa_schober: Another day with zero enforcement of the bus/bike lane at 300 St Paul and at 200 N Charles @mtamaryland.  @FedEx, @NEM…",Thu Sep 13 14:32:00 +0000 2018,5,0,,
15,15,1032732248926248960,1018203082277212165,FedExInBikeLane,"RT @cambikelanes: We were seriously on a street with a bike lane for only 5 minutes all day today. And yet: TNC driver loitering, @FedExInB…",Thu Aug 23 20:52:10 +0000 2018,4,0,,
8,8,1040749086146797568,1665461508,julez_26,RT @MichaelPerchick: Big thanks to @FedEx for their response in helping deliver chemo medicine to a woman in need during #HurricaneFlorence…,Fri Sep 14 23:48:12 +0000 2018,4,0,,
65,65,1044259383335677957,1018203082277212165,FedExInBikeLane,"RT @BostonCyclist: @FedExInBikeLane R30-713 FedEx truck , 8:40 am , Cambridge. https://t.co/oHXRIOszhs",Mon Sep 24 16:16:53 +0000 2018,3,0,,
55,55,1041464827745628163,1018203082277212165,FedExInBikeLane,"RT @amazur: A new level of irony: @FedEx parked illegally in the 14th street bike lane, and endangering cyclists – with a bicycle delivery.…",Sun Sep 16 23:12:19 +0000 2018,3,0,,
0,0,1043581002680012801,372277782,jamesmurray612,RT @khaide612: @FedEx @FedExHelp 773192401819 - a week in customs-Told it’s being held for forms-faxed those forms on TueWed&amp;Thurs &amp; after…,Sat Sep 22 19:21:14 +0000 2018,3,0,,
3,3,1043233117677531136,26307821,SouthSideChaley,"@FedEx @FedExHelp #NoHelpAtAll Further inspection, screws missing that held hard drive, motherboard screws removed, optical drive hanging screws missing....... and Claims hasn’t called about the package being delivered to wrong address #DontUseFedEx https://t.co/LezJK5AnmI",Fri Sep 21 20:18:52 +0000 2018,3,0,,
0,0,1044718235705331712,146855533,matthew_w_bk,"In a deal between @FedEx and #bikenyc, all bikers inconvenienced can ride off with any one package. https://t.co/VEkXKfGxLD",Tue Sep 25 22:40:11 +0000 2018,3,17,011add077f4d2da3,
0,0,1043605403739803650,14310238,voidthatbinds,RT @AniroC_2: #Shark extinction will have a catastrophic effect on the 🌍 oceans.  @FedExHelp before its too late! #fedextinction https://t.…,Sat Sep 22 20:58:12 +0000 2018,3,0,,
0,0,1043609466908872705,248885435,bettyjo62,RT @AniroC_2: #Shark extinction will have a catastrophic effect on the 🌍 oceans.  @FedExHelp before its too late! #fedextinction https://t.…,Sat Sep 22 21:14:20 +0000 2018,3,0,,
0,0,1043605127708463104,1380009414,AniroC_2,#Shark extinction will have a catastrophic effect on the 🌍 oceans.  @FedExHelp before its too late! #fedextinction https://t.co/FXWgcPmiKF,Sat Sep 22 20:57:06 +0000 2018,3,2,,
11,11,1042896741752864773,39789111,natehyde,RT @NFL345: .@PatrickMahomes5 has been voted the @FedEx @NFL Air Player of the Week for Week 2: https://t.co/gvZ0QIs8kv #airandground,Thu Sep 20 22:02:13 +0000 2018,3,0,,
11,11,1032398169567625217,1018203082277212165,FedExInBikeLane,RT @MindTheBikeLane: In three blocks this morning: @FedEx @UPS @USPS all illegally parked in the bike lane. https://t.co/pHm8zxUYlx,Wed Aug 22 22:44:39 +0000 2018,3,0,,
28,28,1035198264264548353,1018203082277212165,FedExInBikeLane,"RT @tcblockedlanes: Yesterday, 8/29, 2nd St S before 11th Ave S. Roughly 12:45pm. 2nd time we’ve seen @FedEx in this bike lane when spots a…",Thu Aug 30 16:11:13 +0000 2018,3,0,,
0,0,1043291309992079360,837660608967266304,SelbyintheCity,"RT @kjell_: @tcblockedlanes @FedEx @FedExHelp @CityMinneapolis @tcblockedlanes 1pm, Stevens Ave approaching 26th St, MN 541 UUG. Parked in…",Sat Sep 22 00:10:06 +0000 2018,3,0,,
0,0,1043532045765492736,890229558892539904,khaide612,@FedEx @FedExHelp 773192401819 - a week in customs-Told it’s being held for forms-faxed those forms on TueWed&amp;Thurs &amp; after hours on phone fedex says they can’t get in touch with anyone &amp; will call me. No call back ever! laundry that we left on vacay being returned. Help!!!,Sat Sep 22 16:06:42 +0000 2018,3,0,,
0,0,1043607503701970944,1186564964,GumlawU,RT @AniroC_2: #Shark extinction will have a catastrophic effect on the 🌍 oceans.  @FedExHelp before its too late! #fedextinction https://t.…,Sat Sep 22 21:06:32 +0000 2018,3,0,,
10,10,1042811705796042752,39789111,natehyde,"RT @FedEx: 30 Golfers, 72 Holes - it all comes down to @playofffinale! #FedExCup https://t.co/8nHy3GfW2n",Thu Sep 20 16:24:19 +0000 2018,3,0,,
0,0,1044021996164714496,15638249,jamesmielke,"#tfw you're tracking a @FedEx shipment (the origin of which you have no idea) leave from a warehouse about 5 miles away from you to a rerouting center some 30 miles away from you, and will have taken approx 9 days to be delivered to you by the time it arrives. That's efficiency. https://t.co/mbqY6khcrj",Mon Sep 24 00:33:35 +0000 2018,2,4,,
47,47,1038106346908999680,1018203082277212165,FedExInBikeLane,RT @tcblockedlanes: 9:55am 4th Ave between 3rd &amp; 4th St S. It’s like I knew this was going to happen! @FedEx stops at same spot @UPS does.…,Fri Sep 07 16:46:54 +0000 2018,2,0,,
